run,test_size,train_size,normalize,accuracy,confusion_matrix
24,0.1,0.9,False,0.6469387755102041,"[[  0   2   1   3   0   0   0]
 [  0   7   1   3   1   0   0]
 [  0   7  98  36   3   1   0]
 [  0   5  32 153  30   9   0]
 [  0   0   8  13  50   3   2]
 [  0   0   1   6   6   9   0]
 [  0   0   0   0   0   0   0]]"
25,0.1,0.9,False,0.5877551020408164,"[[  0   1   0   0   2   0   0]
 [  0   5   7   9   1   0   0]
 [  0   3  91  32  11   1   0]
 [  0   4  37 139  40   2   0]
 [  1   0   9  28  47   3   1]
 [  0   0   1   4   5   6   0]
 [  0   0   0   0   0   0   0]]"
26,0.1,0.9,False,0.6306122448979592,"[[  0   0   2   0   0   0   0]
 [  0   5   3   3   0   0   0]
 [  1   1  88  33   6   0   0]
 [  0   1  38 162  30   4   1]
 [  0   0   6  33  47   4   0]
 [  0   0   0  10   5   7   0]
 [  0   0   0   0   0   0   0]]"
27,0.1,0.9,False,0.6448979591836734,"[[  0   0   2   2   0   0]
 [  0   4   8   4   1   0]
 [  0   4  99  36   7   3]
 [  0   3  31 159  25   2]
 [  0   2   4  27  48   5]
 [  0   0   0   4   4   6]]"
28,0.1,0.9,False,0.6510204081632653,"[[  0   0   0   2   1   0   0]
 [  0   2   5   7   0   0   0]
 [  0   5 117  35   8   2   0]
 [  0   1  37 150  28   8   0]
 [  0   0   4  17  48   5   0]
 [  0   0   0   2   3   2   0]
 [  0   0   1   0   0   0   0]]"
29,0.1,0.9,False,0.6469387755102041,"[[  0   0   2   0   0   0   0]
 [  0   5   9   6   0   0   0]
 [  1   6  85  39   8   1   0]
 [  0   3  33 146  25   1   0]
 [  0   0   4  27  72   2   0]
 [  0   0   1   4   0   9   1]
 [  0   0   0   0   0   0   0]]"
30,0.1,0.9,False,0.6285714285714286,"[[  0   0   0   1   0   0]
 [  0   7   4   4   0   0]
 [  1   4  98  37   8   1]
 [  0   7  38 139  43   7]
 [  0   0   4  16  55   2]
 [  0   0   0   3   2   9]]"
31,0.1,0.9,False,0.6469387755102041,"[[  0   2   1   1   0   0   0]
 [  0   7   2   2   3   0   0]
 [  4   2 103  39   6   4   0]
 [  0   3  30 149  30   7   1]
 [  1   0   5  20  46   3   0]
 [  0   0   0   4   2  12   0]
 [  0   0   0   1   0   0   0]]"
32,0.1,0.9,False,0.6020408163265306,"[[  0   0   2   0   0   0   0]
 [  0   5   3   4   1   0   1]
 [  0   7  88  44   3   4   0]
 [  0   6  39 144  37   5   0]
 [  0   1   1  22  48   6   0]
 [  0   0   0   7   2  10   0]
 [  0   0   0   0   0   0   0]]"
33,0.1,0.9,False,0.6224489795918368,"[[  0   0   1   2   0   0   0]
 [  0   6   6   4   0   0   0]
 [  1   2  92  41   2   3   0]
 [  0   2  45 152  19  10   0]
 [  0   0   3  30  48   4   1]
 [  0   1   0   3   5   7   0]
 [  0   0   0   0   0   0   0]]"
34,0.1,0.9,False,0.5959183673469388,"[[  0   0   0   0   1   1]
 [  0   6   9   6   0   0]
 [  2   6  94  46  11   0]
 [  0   2  36 133  28   6]
 [  0   1   3  26  49   6]
 [  0   0   1   5   2  10]]"
35,0.1,0.9,False,0.6408163265306123,"[[  0   0   3   1   0   0   0]
 [  0   3   4   7   1   0   0]
 [  0   7  96  31   8   3   0]
 [  2   2  37 157  29   7   0]
 [  0   0   3  16  48   4   0]
 [  0   0   0   4   5  10   0]
 [  0   1   0   1   0   0   0]]"
36,0.1,0.9,False,0.6428571428571429,"[[  0   0   0   0   0   0]
 [  0   2   9   3   1   0]
 [  1   7 111  29   5   0]
 [  1   2  38 147  34   6]
 [  1   2   3  20  49   2]
 [  0   0   1   3   7   6]]"
37,0.1,0.9,False,0.610204081632653,"[[  0   1   0   1   0   0   0]
 [  0   2   5   5   1   0   0]
 [  0   6  80  39   4   3   0]
 [  0   5  43 155  27   5   0]
 [  0   0   3  29  52   4   0]
 [  0   0   0   7   2  10   0]
 [  0   0   1   0   0   0   0]]"
38,0.1,0.9,False,0.6285714285714286,"[[  0   1   1   1   0   0   0]
 [  0   3   5   4   1   0   1]
 [  0   6 104  35   9   3   0]
 [  0   5  39 128  28  11   0]
 [  0   3   1  19  60   2   0]
 [  0   0   0   2   5  13   0]
 [  0   0   0   0   0   0   0]]"
39,0.1,0.9,False,0.636734693877551,"[[  0   0   0   1   0   0   0]
 [  0   4  11   3   3   0   0]
 [  0   4 102  24   8   0   0]
 [  0   5  37 140  38   5   0]
 [  0   1   3  25  55   1   0]
 [  0   0   1   4   3  11   0]
 [  0   0   0   1   0   0   0]]"
40,0.1,0.9,False,0.673469387755102,"[[  0   0   3   0   0   0   0]
 [  0   9   5   6   0   0   0]
 [  2   1 103  27   8   0   0]
 [  0   2  35 152  30   1   0]
 [  0   1   6  24  57   5   0]
 [  1   0   0   1   1   9   0]
 [  0   0   1   0   0   0   0]]"
41,0.1,0.9,False,0.6346938775510204,"[[  0   0   1   0   0   0   0]
 [  0   6   4   5   1   0   0]
 [  2   2  94  30   5   1   0]
 [  0   5  42 145  29   4   0]
 [  0   0   8  22  57   6   0]
 [  0   0   0   2   9   9   0]
 [  0   0   0   1   0   0   0]]"
42,0.1,0.9,False,0.6224489795918368,"[[  1   0   1   2   1   0   0]
 [  1   5   7   3   1   1   0]
 [  0   5 101  37   7   1   0]
 [  1   5  34 143  26   8   0]
 [  0   2   4  25  43   3   0]
 [  0   0   0   5   4  12   0]
 [  0   0   0   0   1   0   0]]"
43,0.1,0.9,False,0.6020408163265306,"[[  0   0   1   1   0   0]
 [  0   5  11   5   1   0]
 [  0   6  85  41   6   1]
 [  1   3  40 139  28   4]
 [  0   0   3  29  58   4]
 [  0   0   2   4   4   8]]"
44,0.1,0.9,False,0.6020408163265306,"[[  0   0   1   0   1   0   0]
 [  0   5   5   3   0   0   0]
 [  1   9 104  41   7   2   0]
 [  1   5  44 125  23   4   0]
 [  0   0   7  24  53   8   0]
 [  0   0   0   5   3   8   1]
 [  0   0   0   0   0   0   0]]"
45,0.1,0.9,False,0.6469387755102041,"[[  0   1   2   1   0   0]
 [  0   5   3   5   0   0]
 [  2   8  96  29   4   0]
 [  0   1  39 152  26   7]
 [  0   2   5  26  51   1]
 [  0   0   1   4   6  13]]"
46,0.1,0.9,False,0.6612244897959184,"[[  0   0   0   0   0   0   0]
 [  0   6   7   4   1   0   0]
 [  1   4  92  35   8   0   0]
 [  0   1  34 158  23   2   0]
 [  0   1   7  23  55   1   0]
 [  0   0   1   5   7  13   0]
 [  0   0   0   0   1   0   0]]"
47,0.1,0.9,False,0.6204081632653061,"[[  0   0   1   1   0   0]
 [  1   6   4   1   3   0]
 [  0   8  98  34  12   1]
 [  0   9  32 129  31   7]
 [  1   0   5  27  59   3]
 [  0   0   0   3   2  12]]"
48,0.1,0.9,False,0.5897959183673469,"[[  0   1   3   0   1   0   0]
 [  0   4   7   5   1   0   0]
 [  0   6  89  34   6   1   0]
 [  0   3  37 142  31   5   1]
 [  0   0   8  27  43   5   0]
 [  0   0   3   9   6  11   0]
 [  0   1   0   0   0   0   0]]"
49,0.1,0.9,False,0.6122448979591837,"[[  0   0   1   0   0   0]
 [  0   7   4   3   0   1]
 [  0   4  83  45   6   0]
 [  1   5  39 156  26   3]
 [  0   1   5  32  49   3]
 [  0   0   1   5   5   5]]"
50,0.1,0.9,False,0.6265306122448979,"[[  0   0   2   0   1   0]
 [  0   7   8   3   1   0]
 [  1   8 104  43   7   0]
 [  0   3  29 138  35   1]
 [  0   0   6  19  48   1]
 [  0   1   0   2  12  10]]"
51,0.1,0.9,False,0.6265306122448979,"[[  0   0   0   0   1   0   0]
 [  0   2   6   2   3   0   0]
 [  0   5  99  39   3   0   0]
 [  1   7  41 151  29   4   1]
 [  0   0   5  21  47   4   0]
 [  0   1   1   5   4   8   0]
 [  0   0   0   0   0   0   0]]"
52,0.1,0.9,False,0.6551020408163265,"[[  0   0   0   0   1   0]
 [  0   3   8   4   0   0]
 [  0   6  93  31   2   4]
 [  0   3  35 153  18  11]
 [  0   0   5  28  64   8]
 [  0   0   2   2   1   8]]"
53,0.1,0.9,False,0.6285714285714286,"[[  0   0   1   1   0   0   0]
 [  0   5   5   7   0   0   0]
 [  0   5 105  42   6   1   0]
 [  2   2  37 139  29   3   0]
 [  0   1   3  21  52   3   0]
 [  0   0   1   2   9   7   1]
 [  0   0   0   0   0   0   0]]"
54,0.1,0.9,False,0.610204081632653,"[[  0   1   3   0   1   0   0]
 [  0   5   3   2   2   1   0]
 [  1  11 103  30   5   0   0]
 [  2   3  42 135  28   5   1]
 [  0   0   4  34  45   4   0]
 [  0   0   0   4   3  11   0]
 [  0   0   0   0   1   0   0]]"
55,0.1,0.9,False,0.5979591836734693,"[[  0   0   0   0   0   0   0]
 [  1   6   9   4   1   0   0]
 [  1   4  84  42   1   1   0]
 [  0   5  38 140  27   4   0]
 [  0   0   4  38  46   4   0]
 [  0   1   0   5   5  17   0]
 [  0   0   0   1   1   0   0]]"
56,0.1,0.9,False,0.6061224489795919,"[[  0   0   1   2   1   0   0]
 [  1   5   4   1   2   0   0]
 [  0   6  94  36   3   1   0]
 [  0   4  37 140  36   9   0]
 [  0   0   8  23  51   5   0]
 [  0   1   1   7   3   7   0]
 [  0   0   0   0   1   0   0]]"
57,0.1,0.9,False,0.6122448979591837,"[[  0   0   0   0   0   0]
 [  1   4   8   5   1   0]
 [  1   4  95  40   9   2]
 [  0   0  40 144  22   6]
 [  0   0   3  34  54   8]
 [  0   0   3   1   2   3]]"
58,0.1,0.9,False,0.6142857142857143,"[[  0   0   0   1   0   0   0]
 [  0   8   4   1   0   0   0]
 [  0   8  97  32  12   1   0]
 [  0   7  42 139  28   5   0]
 [  0   0   5  27  47   5   0]
 [  0   0   1   2   7  10   0]
 [  0   0   0   0   1   0   0]]"
59,0.1,0.9,False,0.5959183673469388,"[[  0   1   1   0   1   1   0]
 [  0   4   5   2   0   0   0]
 [  1   4  98  31   8   1   0]
 [  1   5  41 135  37   9   0]
 [  0   1   5  22  45   4   0]
 [  0   0   2   9   5  10   0]
 [  0   0   0   1   0   0   0]]"
60,0.1,0.9,False,0.6326530612244898,"[[  0   0   0   2   0   0   0]
 [  0   4   3   5   0   0   0]
 [  0   5  89  48   5   1   0]
 [  1   6  48 158  16   6   0]
 [  0   1   2  20  52   1   0]
 [  0   0   0   5   4   7   0]
 [  0   0   0   0   1   0   0]]"
61,0.1,0.9,False,0.6061224489795919,"[[  0   0   0   1   0   0]
 [  0   5   8   5   0   0]
 [  1   3  89  52  11   1]
 [  0   3  28 136  27   3]
 [  0   1   4  33  57   4]
 [  0   0   0   5   3  10]]"
62,0.1,0.9,False,0.5877551020408164,"[[  0   0   1   0   0   0   0]
 [  0   4   3   7   0   0   0]
 [  1   7  83  44   9   0   0]
 [  0   4  45 132  23   7   1]
 [  0   0   6  27  65   5   0]
 [  1   0   1   5   5   4   0]
 [  0   0   0   0   0   0   0]]"
63,0.1,0.9,False,0.6346938775510204,"[[  0   0   1   0   0   0   0]
 [  0   6   5   6   0   0   0]
 [  2   2 104  25   9   2   0]
 [  0   2  44 135  33   8   0]
 [  1   0   0  25  59   7   0]
 [  0   0   1   2   2   7   0]
 [  0   0   1   0   1   0   0]]"
64,0.1,0.9,False,0.6183673469387755,"[[  0   0   1   0   0   0]
 [  0   4   8   1   1   0]
 [  0   3 110  31   6   2]
 [  0   7  43 134  26   3]
 [  0   0  11  28  47   4]
 [  0   0   0   3   9   8]]"
65,0.1,0.9,False,0.6163265306122448,"[[  0   0   0   1   0   0   0]
 [  0   4   4   4   0   0   0]
 [  0   6  86  42  10   0   0]
 [  1   2  36 152  28   2   0]
 [  0   0   3  32  51   2   0]
 [  0   0   1  12   1   9   0]
 [  0   0   0   1   0   0   0]]"
66,0.1,0.9,False,0.6204081632653061,"[[  0   1   0   1   0   0]
 [  1   6   6   4   0   0]
 [  1   8  99  33  10   0]
 [  2   2  35 153  25   3]
 [  1   1   5  34  40   4]
 [  0   0   2   5   2   6]]"
67,0.1,0.9,False,0.6510204081632653,"[[  0   0   0   0   0   0]
 [  0   9   3   1   0   0]
 [  1   4 111  41   6   0]
 [  0   4  40 141  19   3]
 [  1   2   5  34  49   2]
 [  0   1   0   4   0   9]]"
